Li (011),2.45
Li (112),1.43
Li (002),1.76
LiF (002),2.07
LiF (111),2.36
LiF (022),1.42
Li2O (111),2.687
Li2O (022),1.63
Li2O (113),1.39
Li2CO3 (002),2.91
Li2CO3 (110),4.2
Li2CO3 (20-2),3
